epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_average_precision,val_roc_auc
1,0.3348608558057706,0.7894517580403266,0.05090149208903313,0.9775,0.9986435593214325,0.99862734375
2,0.02909228079188785,0.9892170749319558,0.027593296393752097,0.9875,0.9998948956719562,0.9998953125
3,0.015266737518777902,0.9945842359606732,0.005636527389287949,0.9975,0.9999891573729863,0.9999890625
4,0.010001673875405032,0.9965283563850469,0.004875650182366371,0.999375,0.9999953300124533,0.9999953125000001
5,0.007151117814128312,0.9975073598844637,0.011541893109679222,0.996875,0.9999812946469946,0.9999812499999999
6,0.00549589330513264,0.998153085596845,0.020473604425787925,0.994375,0.9997571216268977,0.99974375
7,0.004376662181228088,0.99852107982003,0.0018879393488168716,0.99875,0.9999984394506867,0.9999984375
8,0.003095043097128784,0.9990904293728823,0.005551838651299477,0.998125,0.9999843512733058,0.999984375
9,0.003055347219503501,0.9990765427984225,0.001517125368118286,0.999375,1.0,1.0
10,0.0025674390574783597,0.9991043159473421,0.001599050834774971,0.999375,1.0,1.0
